92.99	1.47	0.76	0.47	2.19	1.58	0.61	2.14	83
93.38	1.35	0.72	0.41	2.19	1.39	0.80	1.951	78
90.76	2.15	0.91	0.44	3.71	2.66	1.04	2.03	96
92.87	0.98	1.50	0.24	2.09	1.57	0.52	2.33	69
93.78	0.66	0.38	0.15	1.55	1.19	0.36	3.471	79
84.65	3.55	1.68	0.37	4.83	3.55	1.28	4.91	168
91.15	0.76	0.91	0.34	3.01	1.81	1.20	3.83	100
92.67	0.91	1.00	0.22	2.33	1.26	1.07	2.86	81
75.44	2.69	2.79	1.33	6.09	4.47	1.62	11.66	306
92.96	0.71	0.54	0.16	2.14	1.52	0.63	3.48	82
93.52	0.83	0.52	0.18	2.13	1.60	0.54	2.82	73
92.80	0.98	0.52	0.24	2.46	1.78	0.68	3.01	82
85.39	2.62	1.27	0.12	6.83	5.60	1.23	3.76	123
86.98	3.06	0.94	0.64	5.64	4.84	0.79	2.75	129
85.57	3.71	1.08	0.60	6.19	5.37	0.82	2.85	140
89.14	2.49	1.05	0.26	4.38	3.88	0.51	2.68	102
90.11	2.12	0.77	0.19	4.18	3.53	0.65	2.63	93
85.52	1.98	0.99	0.35	7.69	7.15	0.54	3.4810.70	110
72.32	5.79	1.02	0.44	8.63	7.83	0.80	11.81	322
93.14	1.58	0.79	0.35	2.75	2.31	0.44	1.39	67
92.78	1.39	0.58	0.24	3.00	2.19	0.81	2.01	7392	1	0	0	2	1	0	2	83
93	1	0	0	2	1	0	1	78
90	2	0	0	3	2	1	2	96
92	0	1	0	2	1	0	2	69
93	0	0	0	1	1	0	3	79
84	3	1	0	4	3	1	4	168
91	0	0	0	3	1	1	3	100
92	0	1	0	2	1	1	2	81
75	2	2	1	6	4	1	11	306
92	0	0	0	2	1	0	3	82
93	0	0	0	2	1	0	2	73
92	0	0	0	2	1	0	3	82
85	2	1	0	6	5	1	3	123
86	3	0	0	5	4	0	2	129
85	3	1	0	6	5	0	2	140
89	2	1	0	4	3	0	2	102
90	2	0	0	4	3	0	2	93
85	1	0	0	7	7	0	3	110
72	5	1	0	8	7	0	11	322
93	1	0	0	2	2	0	1	67
92	1	0	0	3	2	0	2	7392.99	1.47	0.76	0.47	2.19	1.58	0.61	2.14.06	83
93.38	1.35	0.72	0.41	2.19	1.39	0.80	1.951.16	78
90.76	2.15	0.91	0.44	3.71	2.66	1.04	2.03.22	96
92.87	0.98	1.50	0.24	2.09	1.57	0.52	2.33.23	69
93.78	0.66	0.38	0.15	1.55	1.19	0.36	3.471.18	79
84.65	3.55	1.68	0.37	4.83	3.55	1.28.13	4.91.58	168
91.15	0.76	0.91	0.34	3.01	1.81	1.20	3.83	100
92.67	0.91	1.00	0.22	2.33	1.26	1.07.08	2.86.34	81
75.44	2.69	2.79	1.33	6.09	4.47	1.62.31	11.66.40	306
92.96	0.71	0.54	0.16	2.14	1.52	0.63.11	3.48.47	82
93.52	0.83	0.52	0.18	2.13	1.60	0.54.16	2.82.49	73
92.80	0.98	0.52	0.24	2.46	1.78	0.68	3.01	82
85.39	2.62	1.27	0.12	6.83	5.60	1.23.06	3.76.70	123
86.98	3.06	0.94	0.64	5.64	4.84	0.79	2.75	129
85.57	3.71	1.08	0.60	6.19	5.37	0.82.10	2.85.32	140
89.14	2.49	1.05	0.26	4.38	3.88	0.51.11	2.68.48	102
90.11	2.12	0.77	0.19	4.18	3.53	0.65	2.63	93
85.52	1.98	0.99	0.35	7.69	7.15	0.54.08	3.4810.70	110
72.32	5.79	1.02	0.44	8.63	7.83	0.80.07	11.81.74	322
93.14	1.58	0.79	0.35	2.75	2.31	0.44.04	1.39.21	67
92.78	1.39	0.58	0.24	3.00	2.19	0.81.11	2.01.54	73
